Playstyle,Position,Min quality,Max quality,Age,Budget
BOX TO BOX,MC,0,85,18,60
REGISTA,MC,0,85,18,40
MEZZALA,MC,0,85,18,50
None,MC,0,85,18,40
BOX TO BOX,MC,0,85,19,40
REGISTA,MC,0,85,19,25
MEZZALA,MC,0,85,19,30
None,MC,0,85,19,25
BOX TO BOX,MC,0,85,20,25
REGISTA,MC,0,85,20,20
MEZZALA,MC,0,85,20,22
None,MC,0,85,20,20
BOX TO BOX,MC,85,100,18,45
REGISTA,MC,85,100,18,25
MEZZALA,MC,85,100,18,35
None,MC,85,100,18,25
BOX TO BOX,MC,85,100,19,25
REGISTA,MC,85,100,19,10
MEZZALA,MC,85,100,19,15
None,MC,85,100,19,10
BOX TO BOX,MC,85,100,20,10
REGISTA,MC,85,100,20,5
MEZZALA,MC,85,100,20,7
None,MC,85,100,20,5
YES,DMC,0,85,18,40
None,DMC,0,85,18,25
YES,DMC,0,85,19,25
None,DMC,0,85,19,20
YES,DMC,0,85,20,20
None,DMC,0,85,20,14
YES,DMC,85,100,18,36
None,DMC,85,100,18,21
YES,DMC,85,100,19,21
None,DMC,85,100,19,16
YES,DMC,85,100,20,16
None,DMC,85,100,20,10
FALSE NINE,AMC,0,100,18,1000000
ENGANCHE,AMC,0,100,18,10
None,AMC,0,100,18,50
FALSE NINE,AMC,0,100,19,60
ENGANCHE,AMC,0,100,19,10
None,AMC,0,100,19,50
FALSE NINE,AMC,0,100,20,35
ENGANCHE,AMC,0,100,20,10
None,AMC,0,100,20,25
WINGER,ML,0,100,18,50
FALSE WINGER,ML,0,100,18,0
None,ML,0,100,18,30
WINGER,ML,0,100,19,30
FALSE WINGER,ML,0,100,19,0
None,ML,0,100,19,25
WINGER,ML,0,100,20,20
FALSE WINGER,ML,0,100,20,0
None,ML,0,100,20,15
